twitter_id	party
1002004819429744643	R
1002231357161066496	D
1002373614	D
1002958863174422529	R
1005471704053964800	D
100615455	R
100678690	D
1007088635878010880	R
1008213204307046400	D
1008456650	R
100851525	R
1009515484990050304	D
1009603836850458624	D
1009904098030903298	D
1010096486	D
10102142	R
1010233470247895040	R
1010360268	R
1012405825250439168	R
1012922064057978882	D
101380235	D
1013844361950396417	R
1014270306507247616	D
1014593071	D
1014819282226728963	D
1015702199073112064	D
1015847316580859905	R
1017445010030161921	R
1017497858293919744	R
1018199904	D
101833775	D
1018939406789562368	I
1019696724011569152	R
1020441696738275328	D
1020562647123660800	D
102110864	D
1021208979513454597	D
1022109996941803520	D
1022263688	D
1022497638015545345	R
1022998760220180481	R
102464298	D
1024803971414859776	I
1024996169628303360	D
1026080814726107136	R
1026106968862351361	D
1026847067849871360	D
1030115886097723393	D
10307212	D
1031495936	D
1033572863574458370	D
1034104953080561664	R
1035506312082350085	D
1037117868461252613	R
1037157770359783424	R
103929010	R
1039708968229199872	R
1041461384	R
1041671091825995779	R
104236471	D
104324860	D
1045110018	D
1046079171842191363	D
1046100237599821829	D
1046114347	D
1046530492529618945	R
1046864715442544641	D
104727439	D
1048022263075942400	R
1048305945552375808	D
1048446804	R
10486052	D
1049674827521564672	R
1049805382821076992	D
1050111	R
105152728	D
105179883	D
1052055717488877568	R
1053014987285950464	D
105317535	D
1053459700690358272	D
1054583923466997760	R
1054895289352495104	D
1055111945605525504	D
1055171016505413637	D
1055515873	R
1056025209784950784	D
10565952	D
1056634891901767680	D
1057838546	D
1057860364212162560	D
1058018161	D
105829774	D
105834029	D
1059229280	D
1060302060439195648	D
1060784466749140997	D
106237226	R
106285629	D
1063916328443097089	D
1064383627	D
1065145460569059331	D
1065388502970441728	D
1066416946923622400	D
1067148449513115649	R
1067170487862812672	D
1067541214671577093	D
1070502143902343169	R
1070859023841402880	R
1071133524080644097	D
1071258873863000064	R
1071429800	R
1071453553766658049	D
1071938899	D
107203737	D
107241302	D
1072517708	R
1072542013172670464	D
107263644	R
1074513692308443136	D
1075156620626280449	D
1075258061470687232	D
107536234	D
1075843532	D
1075862399192834049	D
1076610456251523072	D
1078094414	I
1078278696119742466	D
107890260	D
1079562374145867777	R
1080191866509901826	D
1080642228404539392	R
1080986167003230208	D
1081333913061068800	D
108196727	R
1082265401717915650	D
1082315882817351680	D
1082925858019569664	R
10836362	D
10840862	R
1085611093412593664	D
1086073339427373057	R
1088144723913658368	R
1088493443440009216	R
1089305144225865728	D
1089630154660372481	D
1090337514878050305	D
1090507525462605826	D
1090998587121635328	D
109111108	R
1091165628642267137	R
1091516145423781889	D
1092281096	D
1092297796755976195	D
109280446	R
109290844	R
109307442	D
109328493	D
1093319045997346816	D
1093345249144070144	D
109355585	D
1093568365803778048	D
109552764	R
1095809893192282112	R
1096434308	R
1096781461	D
1097058563187331073	R
109729812	D
109900347	D
110003286	D
110536434	D
110696122	R
110899711	D
110924703	R
1112233794	D
1112486646	D
1112974033	D
11134252	R
1117720224	R
1119732654	R
1120085910	D
112533514	R
112541613	R
1126602830	D
112929886	R
1130238482	D
1131917492	R
1137600571	R
1138688364	R
114756202	R
114844202	D
114896223	R
1150728968	D
1152497407	R
115276825	D
115730034	D
1161712530	R
116252787	R
1162874696	D
1163517230	D
116505994	D
116588778	D
116615346	D
116628927	R
1166690726	D
117061128	R
117456521	R
118078436	D
1185046638	D
118830545	D
118854018	R
119065840	D
119106912	D
1191858842	R
119250381	D
119463881	R
119749813	D
1201491	D
120188379	D
1209302581	D
1209417007	R
1209613802	R
121182843	D
121196560	D
121230578	D
121537837	R
121554714	R
121557838	D
1216086978	D
1216118522	D
121700084	R
121751302	R
1219283328	D
1219395228	R
121940103	D
122526450	D
1226907504	R
1228652142	D
1228753855	D
123608597	D
123653013	D
123669368	R
1237704769	R
1242040290	R
1244124979	D
124478983	D
124816474	D
1249418526	D
124976633	R
12501012	D
125109666	D
125441928	D
1255214533	R
126060565	D
1262743290	R
1262936000	R
126441644	R
126452478	R
126728946	D
126755086	R
1267784124	D
126928542	D
1270426374	D
127312196	R
12765522	R
127683370	D
1278665942	R
1279647384	D
128210898	D
1283359081	D
128347825	D
128423382	R
128549847	D
1286798574	D
128740684	D
1287427844	R
12927172	D
130496027	D
130545175	D
1312439078	D
1317758516	R
1318122715	D
1322558402	R
132283755	D
1324127808	D
1327513346	D
132976955	D
1332072086	D
1332889572	D
1332940308	R
13329732	D
133502135	R
133570135	D
133801267	R
1339835893	D
1339899973	R
13484442	D
134852853	D
134926562	R
134941045	D
1351920236	D
135371020	D
136042190	D
1361816941	R
136260002	D
1364864402	D
1364881236	D
136526394	R
136728774	D
137040556	D
137164051	D
137381495	D
137423095	D
1374767702	R
137514668	D
1379778728	D
1385791357	D
1388223884	R
1388674711	I
1390640984	D
139236026	D
1394884184	D
139501320	R
13954542	D
139606779	D
139762834	D
139805236	D
139856569	R
139959270	R
140457190	R
14069365	D
14080020	D
14090977	D
1411055742	D
14115381	D
14125569	D
141288664	D
1413208694	D
141328285	D
14155497	D
141821487	R
14185317	D
14189467	D
14229561	D
142301923	D
142740168	D
14275426	D
142824575	D
142908783	D
14311688	D
14313371	D
1431626312	D
143194982	D
14327577	D
14335435	R
14344823	R
14355800	D
1436605442	D
14377605	D
1441673053	D
1441986433	D
1442019078	D
14425872	D
1444290152	D
1444825729	D
14466538	D
1447036813	R
1447628749	D
14503443	D
1452143802	D
1452191094	R
14534001	D
145848235	D
146051319	D
14610186	D
1461885254	D
1461928158	D
1466125662	D
14676022	D
14682781	R
14730859	R
14731096	D
1473110280	R
1473761198	D
147442199	D
14747825	D
14758527	D
1478466624	R
14800483	R
14801863	D
14834304	R
14836408	D
148440851	R
148504862	D
1485228492	D
148565166	D
148906064	D
14893938	D
14900477	D
1490306108	D
14904437	R
1491176544	D
14944055	D
14975341	D
14975883	D
1500428564	D
150203689	D
15035209	D
15058530	R
1505926237	D
1507885110	D
15094659	D
15097615	D
15101893	D
1511502894	R
1514249569	D
15170457	D
15182074	R
15207668	R
15214793	D
15238108	R
15238501	D
152537552	R
15255176	R
15268490	D
15272807	D
15274064	R
153057970	R
15313325	D
15315204	D
153204047	R
15326822	D
15329452	D
15372918	D
15378845	D
153869519	D
15393337	R
15394954	R
1539564943	D
15412714	R
1541921730	D
1543408094	D
15444711	R
15454247	D
154591966	R
1548875815	D
15493815	D
15498928	D
15503109	D
15506100	R
1551345260	D
15533337	R
1554363578	D
155800464	D
1558893368	R
155930568	D
155942845	R
15610600	R
15631272	R
15651835	D
15657280	R
15662282	D
1566650000	D
15675351	D
15691217	R
15697312	R
15698424	D
15705830	R
15706370	R
15710277	D
15711605	R
15723287	R
15726077	D
15734630	D
15738163	R
15740256	R
15763092	R
157834281	R
1580233795	D
15808765	D
15822299	D
1582994666	D
15830584	R
15830785	D
15834931	D
158364935	D
15850799	R
1587256842	D
1587551701	R
15883676	D
15891841	R
1589697896	R
159124223	D
1591434500	D
15934324	D
15937190	R
1593775801	D
15939889	D
15951223	R
15954997	D
15966258	R
159729300	R
15984306	R
1598574949	D
1599266138	D
15993333	D
159985941	D
16036525	R
16044062	R
16051469	R
16051473	R
16054353	R
16088285	R
16106522	D
1610998225	D
1611097350	D
16118322	D
16119100	R
16130058	D
16133240	R
16138154	D
161403044	R
161419926	R
1614205279	D
16148151	D
16152012	R
16155881	R
16156419	R
1616499390	D
16177660	D
16186855	D
16189392	D
1620530348	D
16206682	D
16209180	D
16227815	D
1623716108	D
16250216	D
16252960	D
16256826	D
16261447	D
16285818	R
162885498	D
162959093	D
16316264	D
163300674	D
16330353	D
16335712	D
16337114	D
16351170	D
16373962	D
1637396478	D
16374172	R
16391824	D
164054177	R
16424044	R
16440284	D
164554364	D
16456627	D
1645889203	R
16461363	D
1648639159	D
16487266	D
165080948	D
16526677	D
165320426	D
1653330805	D
165395747	R
16571326	D
16582131	D
16594193	R
16596415	D
1660673196	D
1662453013	D
166272944	D
16642424	D
16656993	R
16658638	R
16667056	R
16696584	D
16697679	R
16700729	R
16702310	D
167150263	D
1674501806	R
16745288	D
16782473	R
1678289870	D
1678457952	D
167884639	R
16795212	D
16799528	D
16804072	D
16843704	R
1684803320	D
16873037	R
1687367893	R
168755239	D
1689734478	D
169175539	D
169183368	D
16932845	D
1693373094	R
1694504534	D
169512661	D
169515950	D
1695286476	D
1695469562	R
16955832	R
169609318	D
16963709	R
169660328	R
169686820	D
169785728	D
169980486	D
17022537	D
1702731	D
1703474467	D
17060507	D
17096533	R
17099823	D
17117495	D
17126519	D
17131934	D
