0,twitter_id,City,State,Country
1,820113517613154304,Unknown,Unknown,Unknown
2,892107321492373505,Unknown,WA,United States
3,819227166281826306,Unknown,CA,United States
4,47972355,Unknown,Unknown,Unknown
5,1271136260,Washington,DC,United States
6,782374126522466309,Unknown,AZ,United States
7,776067614447501318,League City,TX,United States
8,753785430059778049,Moapa Valley,NV,United States
9,12,Unknown,Unknown,Unknown
10,901452703175409666,Unknown,Unknown,United States
11,712134473362440207,Unknown,Unknown,United States
12,946501532547248129,Unknown,Unknown,Unknown
13,895809055670796291,Unknown,MD,United States
14,20,San Francisco,CA,United States
15,22,Unknown,Unknown,Unknown
16,17825817,Philadelphia,PA,United States
17,3361210398,Unknown,Unknown,Bangladesh
18,851943339679154181,Bowling Green,KY,United States
19,16252960,Unknown,CA,United States
20,21495841,Cumming,GA,United States
21,955874204003467270,Unknown,Unknown,United States
22,829322185823092743,Unknown,Unknown,Unknown
23,241172528,Unknown,Unknown,United States
24,938147755402330120,Washington,DC,United States
25,186646579,New York,NY,United States
26,1896742921,Unknown,Unknown,United States
27,824598773120831488,Unknown,Unknown,Belgium
28,135528507,Gulf Shores,AL,United States
29,248250428,Unknown,Unknown,Egypt
30,991821483776278538,Unknown,Unknown,Unknown
31,32768065,Los Angeles,CA,United States
32,568066119,Unknown,Unknown,Unknown
33,151257100,Sacramento,CA,United States
34,16253002,Unknown,CA,United States
35,65404941,Unknown,Unknown,Unknown
36,13893712,Unknown,DC,United States
37,109576274,Unknown,Unknown,Ghana
38,739235278666235905,Niceville,FL,United States
39,40894553,Alexandria,VA,United States
40,265551968,Mount Sinai,NY,United States
41,259784801,Washington,DC,United States
42,765340904957874176,Denham Springs,LA,United States
43,115081320,Unknown,Unknown,United States
44,752877673,Unknown,Unknown,Unknown
45,426770539,Unknown,Unknown,Unknown
46,928490088773722112,Unknown,Unknown,Unknown
47,4891607150,Unknown,OR,United States
48,368050288,Washington,DC,United States
49,1072928517208313856,Unknown,Unknown,Unknown
50,90964095,Unknown,Unknown,Unknown
51,486801537,Washington,DC,United States
52,14155907,Unknown,Unknown,Unknown
53,285999126,Unknown,IA,United States
54,313524358,Unknown,Unknown,Unknown
55,1081274755376914435,Fairport,NY,United States
56,555483274,Fort Smith,AR,United States
57,2346975372,Tucson,AZ,United States
58,3341549709,Unknown,Unknown,Unknown
59,7864462,Greenville,SC,United States
60,234619026,Washington,DC,United States
61,17825939,Wilmington,NC,United States
62,844130700534079488,Las Vegas,NV,United States
63,928094071582744576,Unknown,Unknown,Unknown
64,41156772,Baton Rouge,LA,United States
65,1076779771051339778,Unknown,Unknown,Egypt
66,1049972978178347008,Unknown,Unknown,Unknown
67,87818409,Unknown,Unknown,Unknown
68,65536177,Unknown,MD,United States
69,63330870,Chicago,IL,United States
70,1157365944,New York,NY,United States
71,17825977,Philadelphia,PA,United States
72,876516739693121536,Unknown,KS,United States
73,57147584,Unknown,Unknown,Unknown
74,19923144,Unknown,Unknown,Unknown
75,15117004,Unknown,Unknown,Unknown
76,767449398666113024,Phoenix,AZ,United States
77,3302096930,San Jose,CA,United States
78,4827906254,Unknown,FL,United States
79,16253142,Unknown,Unknown,Unknown
80,2272002265,Unknown,Unknown,Unknown
81,785243952009981952,Unknown,Unknown,Unknown
82,224,Unknown,Unknown,Unknown
83,23505617,Unknown,Unknown,Unknown
84,67982717,Unknown,Unknown,Unknown
85,227016946,Unknown,Unknown,Unknown
86,24117492,Washington,DC,United States
87,19136758,New York,NY,United States
88,365953272,Unknown,Unknown,Unknown
89,729704994098843649,Unknown,Unknown,Uganda
90,476315898,Unknown,Unknown,Unknown
91,2883841,Unknown,CA,United States
92,3279945986,Unknown,MN,United States
93,42991877,Unknown,Unknown,Unknown
94,47972614,Madison,AL,United States
95,34341129,Unknown,Unknown,Unknown
96,23593226,Wilmington,NC,United States
97,151519500,Washington,DC,United States
98,36700431,Unknown,Unknown,Unknown
99,266862865,Unknown,TX,United States
100,27787539,Tucson,AZ,United States
101,109052182,Unknown,Unknown,Unknown
102,1016923483606081536,Unknown,Unknown,Unknown
103,127950286,Unknown,Unknown,Unknown
104,133938408,Fort Myers,FL,United States
105,334156412,Lake Charles,LA,United States
106,25690402,Unknown,Unknown,Unknown
107,920883960892272646,Unknown,Unknown,Iraq
108,10486052,Unknown,Unknown,Unknown
109,14156070,Unknown,PA,United States
110,19398954,Unknown,DC,United States
111,1068499243,Unknown,Unknown,Unknown
112,2571108403,Unknown,Unknown,Unknown
113,1016814724036681728,Unknown,Unknown,Unknown
114,68157749,Unknown,Unknown,Unknown
115,2538340664,Unknown,Unknown,Unknown
116,708313405,Unknown,Unknown,Unknown
117,517472576,Washington,DC,United States
118,50331969,Washington,DC,United States
119,324,Unknown,Unknown,Unknown
120,75759944,Wilmington,NC,United States
121,3005219147,Unknown,Unknown,Argentina
122,786764,Unknown,Unknown,Unknown
123,55312717,Wilmington,OH,United States
124,107479374,Nashville,TN,United States
125,2812543313,Unknown,TX,United States
126,182452564,Unknown,Unknown,Unknown
127,1068499286,Puget,WA,United States
128,878182747,Unknown,Unknown,Sri Lanka
129,10748252,Boston,MA,United States
130,2707161438,Orlando,FL,United States
131,10486112,Arlington,VA,United States
132,49807714,Unknown,Unknown,United States
133,3003908155,Unknown,FL,United States
134,536084837,Unknown,Unknown,China
135,20447590,Unknown,Unknown,Unknown
136,960629267343257601,Fairfax,VA,United States
137,374385384,Unknown,Unknown,Unknown
138,947388787,Unknown,Unknown,Vatican City
139,36700535,Unknown,Unknown,Unknown
140,203686271,Santa Ana,CA,United States
141,748821591077904384,Dearborn,MI,United States
142,2272526401,Unknown,Unknown,Unknown
143,2918711688,Unknown,Unknown,Pakistan
