name	twitter_id	twitter_name	party
Linda E. McMahon	819992522109894658	SBALinda	R
Daniel Coats	212262370	SenDanCoats	R
Mick Mulvaney	888031054141022209	MickMulvaneyOMB	R
Sonny Perdue	842072478834909184	SecretarySonny	R
Wilbur L. Ross, Jr.	836305915452272641	SecretaryRoss	R
Elisabeth Prince DeVos	11522502	etsy	R
James Richard Perry	18906561	GovernorPerry	R
Alex Azar	956283913835614208	SecAzar	R
Kirstjen Nielsen	935148134505828353	SecNielsen	R
Benjamin S. Carson, Sr.	828613457020870657	SecretaryCarson	R
Alexander Acosta	819980276570976256	SecretaryAcosta	R
Mike Pompeo	988573326376427520	SecPompeo	R
Elaine L. Chao	826065858548133888	SecElaineChao	R
Steven T. Mnuchin	799764016885329921	stevenmnuchin1	R
Robert Wilkie	1024390184090181633	SecWilkie	R
Robert Lighthizer	862405301693296640	USTradeRep	R
Michael R. Pence	818910970567344128	VP	R
Joseph R. Biden	939091	JoeBiden	D
John Kerry	15007149	JohnKerry	D
Jack Lew	1076899938	SecJackLew	D
Ashton Carter	129928278	AshtonCarter1	D
Loretta E. Lynch	3290070855	AGLynch	D
Sally Jewell	821446682860732416	sallyjewell	D
Penny Pritzker	821763194372943872	PennyPritzker	D
Thomas E. Perez	4797361833	TomPerez	D
Sylvia Mathews Burwell	788075094711107584	SylviaBurwell	D
Julián Castro	19682187	JulianCastro	D
Anthony Foxx	17856665	anthonyfoxx	D
Ernest Moniz	821769014691168256	ErnestMoniz	D
John King	30043495	JohnKingCNN	D
Robert McDonald	1031591	mcdonald	D
Jeh Johnson	423966076	JehJohnson	D
Denis McDonough	820830366713991168	DenisMcDonough	D
Gina McCarthy	1530850933	GinaEPA	D
Michael Froman	2328937074	MikeFroman	D
Samantha Power	1615463502	AmbPower44	D
Jason Furman	279036722	jasonfurman	D
Maria Contreras-Sweet	1541518434	MContrerasSweet	D
Abraham, Ralph Lee	2962891515	RepAbraham	R
Adams, Alma S.	2916086925	RepAdams	D
Aderholt, Robert B.	76452765	Robert_Aderholt	R
Aguilar, Pete	3018670151	RepPeteAguilar	D
Alexander, Lamar	76649729	SenAlexander	R
Allen, Rick W.	2964287128	RepRickAllen	R
Amash, Justin	233842454	justinamash	R
Amodei, Mark E.	85689484	AmodeiForNevada	R
Arrington, Jodey C.	3609064098	JodeyArrington	R
Babin, Brian	2929491549	RepBrianBabin	R
Bacon, Don	818975124460335106	RepDonBacon	R
Balderson, Troy	603083228	Troy_Balderson	R
Baldwin, Tammy	1074518754	SenatorBaldwin	D
Banks, Jim	816131319033950208	RepJimBanks	R
Barletta, Lou	93965901	louforsenate	R
Barr, Andy	1089334250	RepAndyBarr	R
Barragan, Nanette Diaz	303633791	Nanette4CA	D
Barrasso, John	202206694	SenJohnBarrasso	R
Barton, Joe	19929362	RepJoeBarton	R
Bass, Karen	239949176	RepKarenBass	D
Beatty, Joyce	1531521632	RepBeatty	D
Becerra, Xavier	133832049	AGBecerra	D
Bera, Ami	950783972	RepBera	D
Bergman, Jack	815241612154417152	RepJackBergman	R
Beyer, Donald S., Jr.	2962868158	RepDonBeyer	D
Biggs, Andy	816652616625168388	RepAndyBiggsAZ	R
Bilirakis, Gus M.	26051676	RepGusBilirakis	R
Bishop, Mike	2485713498	ElectMikeBishop	R
Bishop, Rob	148006729	RepRobBishop	R
Bishop, Sanford D., Jr.	249410485	SanfordBishop	D
Black, Diane	110545675	RepDianeBlack	R
Blackburn, Marsha	278145569	MarshaBlackburn	R
Blum, Rod	2965083477	RepRodBlum	R
Blumenauer, Earl	15954997	repblumenauer	D
Blumenthal, Richard	278124059	SenBlumenthal	D
Blunt Rochester, Lisa	4049197462	LisaBRochester	D
Blunt, Roy	21269970	RoyBlunt	R
Bonamici, Suzanne	558769636	RepBonamici	D
Booker, Cory A.	15808765	CoryBooker	D
Boozman, John	5558312	JohnBoozman	R
Bost, Mike	2964877294	RepBost	R
Boyle, Brendan F.	231108733	RepBrendanBoyle	D
Brady, Kevin	19926675	RepKevinBrady	R
Brady, Robert A.	17996269	robert_brady	D
Brat, Dave	2279098645	DaveBratVA7th	R
Bridenstine, Jim	243418245	JimBridenstine	R
Brooks, Mo	237299871	RepMoBrooks	R
Brooks, Susan W.	1074101017	SusanWBrooks	R
Brown, Anthony G.	823552974253342721	RepAnthonyBrown	D
Brown, Sherrod	24768753	SherrodBrown	D
Brownley, Julia	44251742	JuliaBrownley	D
Buchanan, Vern	20467163	VernBuchanan	R
Buck, Ken	2862577383	RepKenBuck	R
Bucshon, Larry	234812598	RepLarryBucshon	R
Budd, Ted	817138492614524928	RepTedBudd	R
Burgess, Michael C.	15751083	michaelcburgess	R
Burr, Richard	21157904	SenatorBurr	R
Bustos, Cheri	1092979962	RepCheri	D
Butterfield, G. K.	432676344	GKButterfield	D
Byrne, Bradley	2253968388	RepByrne	R
Calvert, Ken	22545491	KenCalvert	R
Cantwell, Maria	117501995	SenatorCantwell	D
Capito, Shelley Moore	193794406	SenCapito	R
Capuano, Michael E.	75785294	mikecapuano	D
Carbajal, Salud O.	816157667882373120	RepCarbajal	D
Cardenas, Tony	1222257180	RepCardenas	D
Cardin, Benjamin L.	109071031	SenatorCardin	D
Carper, Thomas R.	249787913	SenatorCarper	D
Carson, Andre	199325935	RepAndreCarson	D
"Carter, Earl L. ""Buddy"""	2973870195	RepBuddyCarter	R
